Pathway	Gene_ID	Gene_Name
MAPK_only	7764	ZNF217
MAPK_only	3673	ITGA2
MAPK_only	5730	PTGDS
MAPK_only	7779	SLC30A1
MAPK_only	5734	PTGER4
MAPK_only	3696	ITGB8
MAPK_only	1650	DDOST
MAPK_only	11198	SUPT16H
MAPK_only	56950	SMYD2
MAPK_only	50808	AK3
MAPK_only	5753	PTK6
MAPK_only	7803	PTP4A1
MAPK_only	81537	SGPP1
MAPK_only	10518	CIB2
MAPK_only	3725	JUN
MAPK_only	151188	ARL6IP6
MAPK_only	5781	PTPN11
MAPK_only	161436	EML5
MAPK_only	7837	PXDN
MAPK_only	5791	PTPRE
MAPK_only	80155	NARG1
MAPK_only	7852	CXCR4
MAPK_only	2674	GFRA1
MAPK_only	50865	HEBP1
MAPK_only	57016	AKR1B10
MAPK_only	118460	EXOSC6
MAPK_only	100093630	SNHG8
MAPK_only	6773	STAT2
MAPK_only	1728	NQO1
MAPK_only	140576	S100A16
MAPK_only	5828	PXMP3
MAPK_only	5829	PXN
MAPK_only	9935	MAFB
MAPK_only	54995	OXSM
MAPK_only	81620	CDT1
MAPK_only	54998	AURKAIP1
MAPK_only	3800	KIF5C
MAPK_only	55003	PAK1IP1
MAPK_only	22822	PHLDA1
MAPK_only	7918	BAT4
MAPK_only	8829	NRP1
MAPK_only	65264	UBE2Z
MAPK_only	26353	HSPB8
MAPK_only	3837	KPNB1
MAPK_only	83872	HMCN1
MAPK_only	81671	TMEM49
MAPK_only	1802	DPH2
MAPK_only	79629	OCEL1
MAPK_only	10001	MED6
MAPK_only	5906	RAP1A
MAPK_only	644	BLVRA
MAPK_only	10010	TANK
MAPK_only	5920	RARRES3
MAPK_only	81704	DOCK8
MAPK_only	5930	RBBP6
MAPK_only	91947	ARRDC4
MAPK_only	7980	TFPI2
MAPK_only	5934	RBL2
MAPK_only	3887	KRT81
MAPK_only	55088	C10orf118
MAPK_only	79665	DHX40
MAPK_only	2355	FOSL2
MAPK_only	3895	KTN1
MAPK_only	79672	FN3KRP
MAPK_only	220988	HNRNPA3
MAPK_only	51014	TMED7
MAPK_only	3920	LAMP2
MAPK_only	51030	FAM18B
MAPK_only	8028	MLLT10
MAPK_only	10079	ATP9A
MAPK_only	57185	NIPAL3
MAPK_only	10085	EDIL3
MAPK_only	5993	RFX5
MAPK_only	221035	REEP3
MAPK_only	3949	LDLR
MAPK_only	55151	TMEM38B
MAPK_only	1906	EDN1
MAPK_only	10099	TSPAN3
MAPK_only	1909	EDNRA
MAPK_only	3958	LGALS3
MAPK_only	1912	PHC2
MAPK_only	1915	EEF1A1
MAPK_only	8061	FOSL1
MAPK_only	57214	KIAA1199
MAPK_only	253832	ZDHHC20
MAPK_only	10123	ARL4C
MAPK_only	55180	LINS1
MAPK_only	3983	ABLIM1
MAPK_only	10128	LRPPRC
MAPK_only	83858	ATAD3B
MAPK_only	163732	CITED4
MAPK_only	8085	MLL2
MAPK_only	94103	ORMDL3
MAPK_only	55197	RPRD1A
MAPK_only	1952	CELSR2
MAPK_only	51109	RDH11
MAPK_only	10150	MBNL2
MAPK_only	9201	DCLK1
MAPK_only	4008	LMO7
MAPK_only	55209	SETD5
MAPK_only	79789	CLMN
MAPK_only	196528	ARID2
MAPK_only	51125	GOLGA7
MAPK_only	51133	KCTD3
MAPK_only	79807	GSTCD
MAPK_only	51136	RNFT1
MAPK_only	55233	MOBKL1B
MAPK_only	5999	RGS4
MAPK_only	284618	C1orf104
MAPK_only	1999	ELF3
MAPK_only	2000	ELF4
MAPK_only	2002	ELK1
MAPK_only	6137	RPL13
MAPK_only	4059	BCAM
MAPK_only	2012	EMP1
MAPK_only	2013	EMP2
MAPK_only	10207	INADL
MAPK_only	55268	ECHDC2
MAPK_only	8165	AKAP1
MAPK_only	4071	TM4SF1
MAPK_only	6120	RPE
MAPK_only	55274	PHF10
MAPK_only	8871	SYNJ2
MAPK_only	2028	ENPEP
MAPK_only	692205	SNORD89
MAPK_only	11261	CHP
MAPK_only	51185	CRBN
MAPK_only	2034	EPAS1
MAPK_only	51192	CKLF
MAPK_only	4089	SMAD4
MAPK_only	79868	ALG13
MAPK_only	55295	KLHL26
MAPK_PI3K	4609	MYC
MAPK_PI3K	6662	SOX9
MAPK_PI3K	1545	CYP1B1
MAPK_PI3K	7184	HSP90B1
MAPK_PI3K	6168	RPL37A
MAPK_PI3K	6169	RPL38
MAPK_PI3K	57007	CXCR7
MAPK_PI3K	6187	RPS2
MAPK_PI3K	100133941	CD24
MAPK_PI3K	4665	NAB2
MAPK_PI3K	4154	MBNL1
MAPK_PI3K	23135	KDM6B
MAPK_PI3K	6205	RPS11
MAPK_PI3K	3135	HLA-G
MAPK_PI3K	2114	ETS2
MAPK_PI3K	4170	MCL1
MAPK_PI3K	51278	IER5
MAPK_PI3K	5606	MAP2K3
MAPK_PI3K	3164	NR4A1
MAPK_PI3K	23645	PPP1R15A
MAPK_PI3K	7262	PHLDA2
MAPK_PI3K	25976	TIPARP
MAPK_PI3K	65124	ANKRD57
MAPK_PI3K	2150	F2RL1
MAPK_PI3K	27242	TNFRSF21
MAPK_PI3K	2669	GEM
MAPK_PI3K	5743	PTGS2
MAPK_PI3K	3187	HNRNPH1
MAPK_PI3K	7803	PTP4A1
MAPK_PI3K	10365	KLF2
MAPK_PI3K	51330	TNFRSF12A
MAPK_PI3K	4739	NEDD9
MAPK_PI3K	3725	JUN
MAPK_PI3K	3726	JUNB
MAPK_PI3K	9126	SMC3
MAPK_PI3K	7791	ZYX
MAPK_PI3K	8870	IER3
MAPK_PI3K	7852	CXCR4
MAPK_PI3K	7538	ZFP36
MAPK_PI3K	23215	BAT2D1
MAPK_PI3K	57535	KIAA1324
MAPK_PI3K	29896	TRA2A
MAPK_PI3K	10628	TXNIP
MAPK_PI3K	10443	N4BP2L2
MAPK_PI3K	3280	HES1
MAPK_PI3K	5329	PLAUR
MAPK_PI3K	8915	BCL10
MAPK_PI3K	23764	MAFF
MAPK_PI3K	9948	WDR1
MAPK_PI3K	10979	FERMT2
MAPK_PI3K	6781	STC1
MAPK_PI3K	5366	PMAIP1
MAPK_PI3K	347902	AMIGO2
MAPK_PI3K	3337	DNAJB1
MAPK_PI3K	54541	DDIT4
MAPK_PI3K	8976	WASL
MAPK_PI3K	6446	SGK1
MAPK_PI3K	9497	SLC4A7
MAPK_PI3K	23429	RYBP
MAPK_PI3K	1316	KLF6
MAPK_PI3K	22822	PHLDA1
MAPK_PI3K	79144	PPDPF
MAPK_PI3K	7465	WEE1
MAPK_PI3K	9518	GDF15
MAPK_PI3K	1839	HBEGF
MAPK_PI3K	2353	FOS
MAPK_PI3K	2354	FOSB
MAPK_PI3K	1843	DUSP1
MAPK_PI3K	1844	DUSP2
MAPK_PI3K	1846	DUSP4
MAPK_PI3K	1847	DUSP5
MAPK_PI3K	1848	DUSP6
MAPK_PI3K	8507	ENC1
MAPK_PI3K	4929	NR4A2
MAPK_PI3K	3397	ID1
MAPK_PI3K	3399	ID3
MAPK_PI3K	25932	CLIC4
MAPK_PI3K	79693	YRDC
MAPK_PI3K	998	CDC42
MAPK_PI3K	2920	CXCL2
MAPK_PI3K	8553	BHLHE40
MAPK_PI3K	3949	LDLR
MAPK_PI3K	1906	EDN1
MAPK_PI3K	10611	PDLIM5
MAPK_PI3K	375	ARF1
MAPK_PI3K	9592	IER2
MAPK_PI3K	8061	FOSL1
MAPK_PI3K	57730	ANKRD36B
MAPK_PI3K	388	RHOB
MAPK_PI3K	901	CCNG2
MAPK_PI3K	3976	LIF
MAPK_PI3K	6722	SRF
MAPK_PI3K	7057	THBS1
MAPK_PI3K	3480	IGF1R
MAPK_PI3K	7071	KLF10
MAPK_PI3K	3488	IGFBP5
MAPK_PI3K	3491	CYR61
MAPK_PI3K	1958	EGR1
MAPK_PI3K	1959	EGR2
MAPK_PI3K	1960	EGR3
MAPK_PI3K	1961	EGR4
MAPK_PI3K	6574	SLC20A1
MAPK_PI3K	1969	EPHA2
MAPK_PI3K	960	CD44
MAPK_PI3K	8013	NR4A3
MAPK_PI3K	1490	CTGF
MAPK_PI3K	467	ATF3
MAPK_PI3K	150094	SIK1
MAPK_PI3K	10202	DHRS2
MAPK_PI3K	10209	EIF1
MAPK_PI3K	678	ZFP36L2
MAPK_PI3K	5094	PCBP2
MAPK_PI3K	10221	TRIB1
MAPK_PI3K	3569	IL6
MAPK_PI3K	4082	MARCKS
MAPK_PI3K	83955	NACAP1
MAPK_PI3K	84981	C17orf91
MAPK_PI3K	3576	IL8
TGFB	7168	TPM1
TGFB	4609	MYC
TGFB	6659	SOX4
TGFB	1028	CDKN1C
TGFB	6662	SOX9
TGFB	4616	GADD45B
TGFB	19	ABCA1
TGFB	94234	FOXQ1
TGFB	1052	CEBPD
TGFB	10272	FSTL3
TGFB	5154	PDGFA
TGFB	10276	NET1
TGFB	3624	INHBA
TGFB	10287	RGS19
TGFB	4144	MAT2A
TGFB	3638	INSIG1
TGFB	378938	MALAT1
TGFB	2114	ETS2
TGFB	150094	SIK1
TGFB	54541	DDIT4
TGFB	3162	HMOX1
TGFB	54880	BCOR
TGFB	5734	PTGER4
TGFB	56937	PMEPA1
TGFB	5743	PTGS2
TGFB	624	BDKRB2
TGFB	1649	DDIT3
TGFB	481	ATP1B1
TGFB	54206	ERRFI1
TGFB	7291	TWIST1
TGFB	10370	CITED2
TGFB	4739	NEDD9
TGFB	133	ADM
TGFB	23175	LPIN1
TGFB	650	BMP2
TGFB	51339	DACT1
TGFB	3725	JUN
TGFB	3726	JUNB
TGFB	8870	IER3
TGFB	23704	KCNE4
TGFB	5999	RGS4
TGFB	23710	GABARAPL1
TGFB	7280	TUBB2A
TGFB	55970	GNG12
TGFB	4772	NFATC1
TGFB	678	ZFP36L2
TGFB	8817	FGF18
TGFB	23210	JMJD6
TGFB	5292	PIM1
TGFB	8877	SPHK1
TGFB	6319	SCD
TGFB	387763	LOC387763
TGFB	7357	UGCG
TGFB	89796	NAV1
TGFB	2252	FGF7
TGFB	25805	BAMBI
TGFB	65997	RASL11B
TGFB	5328	PLAU
TGFB	5329	PLAUR
TGFB	9935	MAFB
TGFB	3280	HES1
TGFB	29922	NME7
TGFB	284454	LOC284454
TGFB	8572	PDLIM4
TGFB	8445	DYRK2
TGFB	7422	VEGFA
TGFB	2309	FOXO3
TGFB	54534	MRPL50
TGFB	81671	TMEM49
TGFB	51330	TNFRSF12A
TGFB	10628	TXNIP
TGFB	6427	SFRS2
TGFB	1311	COMP
TGFB	1316	KLF6
TGFB	144165	PRICKLE1
TGFB	9510	ADAMTS1
TGFB	79836	LONRF3
TGFB	1839	HBEGF
TGFB	1843	DUSP1
TGFB	1846	DUSP4
TGFB	1848	DUSP6
TGFB	8507	ENC1
TGFB	51523	CXXC5
TGFB	3397	ID1
TGFB	3398	ID2
TGFB	3399	ID3
TGFB	64332	NFKBIZ
TGFB	30008	EFEMP2
TGFB	5980	REV3L
TGFB	3422	IDI1
TGFB	23013	SPEN
TGFB	864	RUNX3
TGFB	11067	C10orf10
TGFB	8553	BHLHE40
TGFB	10602	CDC42EP3
TGFB	5996	RGS1
TGFB	3437	IFIT3
TGFB	5998	RGS3
TGFB	282991	BLOC1S2
TGFB	7538	ZFP36
TGFB	6515	SLC2A3
TGFB	6004	RGS16
TGFB	3964	LGALS8
TGFB	5507	PPP1R3C
TGFB	388	RHOB
TGFB	23429	RYBP
TGFB	7050	TGIF1
TGFB	10123	ARL4C
TGFB	396	ARHGDIA
TGFB	7832	BTG2
TGFB	55701	FLJ10357
TGFB	7071	KLF10
TGFB	9120	SLC16A6
TGFB	26018	LRIG1
TGFB	1958	EGR1
TGFB	1959	EGR2
TGFB	116039	OSR2
TGFB	6574	SLC20A1
TGFB	8111	GPR68
TGFB	10672	GNA13
TGFB	51129	ANGPTL4
TGFB	5054	SERPINE1
TGFB	6591	SNAI2
TGFB	221037	JMJD1C
TGFB	85450	ITPRIP
TGFB	8140	SLC7A5
TGFB	27042	C1orf107
TGFB	406991	MIR21
TGFB	2006	ELN
TGFB	7128	TNFAIP3
TGFB	7130	TNFAIP6
TGFB	2012	EMP1
TGFB	3553	IL1B
TGFB	4067	LYN
TGFB	23012	STK38L
TGFB	7078	TIMP3
TGFB	22822	PHLDA1
TGFB	7421	VDR
TGFB	131578	LRRC15
TGFB	11259	FILIP1L
TGFB	4092	SMAD7
TGFB	5631	PRPS1
