Pathway	Gene_Name
MAPK_only	TXNIP
MAPK_only	EIF3B
MAPK_only	ATP5G3
MAPK_only	C6orf211
MAPK_only	S100A10
MAPK_only	RPL22
MAPK_only	AURKA
MAPK_only	TUBB2C
MAPK_only	HIF1A
MAPK_only	UBE2A
MAPK_only	DSTN
MAPK_only	TRAM1
MAPK_only	SFRS1
MAPK_only	NPM1
MAPK_only	LRP10
MAPK_only	GAPDH
MAPK_only	GDI2
MAPK_only	HEBP2
MAPK_only	PPIA
MAPK_only	SCD
MAPK_only	SEPT9
MAPK_only	HIPK1
MAPK_only	CD24
MAPK_only	CSRP1
MAPK_only	ACTB
MAPK_only	FTH1
MAPK_only	NQO1
MAPK_only	CD47
MAPK_only	ATP5L
MAPK_only	PKM2
MAPK_only	PRKAR1A
MAPK_only	XBP1
MAPK_only	RRM2
MAPK_only	SLC39A6
MAPK_only	AKAP1
MAPK_only	CTBP2
MAPK_only	TMEM97
MAPK_only	TMPO
MAPK_only	DBI
MAPK_only	RPL13
MAPK_only	XPO1
MAPK_only	POLE3
MAPK_only	SNRPB2
MAPK_only	ATP1B1
MAPK_only	ADNP
MAPK_only	ITM2B
MAPK_only	COPS2
MAPK_only	MCM7
MAPK_only	TUBB
MAPK_only	TXNRD1
MAPK_only	RPL4
MAPK_only	PLSCR1
MAPK_only	RBM39
MAPK_only	HSPB1
MAPK_only	STAT1
MAPK_only	YWHAB
MAPK_only	RHEB
MAPK_only	RPL15
MAPK_only	SON
MAPK_only	STAU1
MAPK_only	AZIN1
TLR	FRAT2
TLR	HHEX
TLR	IL15
TLR	IL15RA
TLR	IL18
TLR	DDX58
TLR	IDO1
TLR	PDSS1
TLR	CALHM2
TLR	RP6-213H19.1
TLR	IL12B
TLR	NAB1
TLR	BCL2A1
TLR	FAM129A
TLR	EZH2
TLR	PALM2-AKAP2
TLR	SLFN5
TLR	TRIP10
TLR	RTP4
TLR	ITGB8
TLR	STAT4
TLR	MAP3K4
TLR	DENND4A
TLR	SOCS2
TLR	ADORA2A
TLR	KANK1
TLR	KITLG
TLR	IL23A
TLR	TBC1D9
TLR	KCNJ2
TLR	USP12
TLR	PLA2G4A
TLR	CCR1
TLR	CCL4
TLR	CCR7
TLR	ELOVL7
TLR	CCRN4L
TLR	ST8SIA4
TLR	CCL23
TLR	CCL5
TLR	STAT5A
TLR	GPR132
TLR	ORAI3
TLR	FOXO3
TLR	FLI1
TLR	FLT1
TLR	PIM2
TLR	IFIH1
TLR	DUSP2
TLR	MAMLD1
TLR	SGPP2
TLR	DOK3
TLR	RUNX3
TLR	LRRC50
TLR	RGS1
TLR	NLRP3
TLR	ZFX
TLR	TFRC
TLR	ARL5B
TLR	SAV1
TLR	CSF3
TLR	CASP5
TLR	ABTB2
TLR	PELI1
TLR	LOC285628
TLR	CD40
TLR	LAMP3
TLR	NUPL1
TLR	CD274
TLR	CD69
TLR	LSS
TLR	TNF
TLR	SIAH2
TLR	RAPGEF2
TLR	SLAMF7
TLR	CLCF1
TLR	ZC3HAV1
TLR	ISG20
Wnt	SUB1
Wnt	ATP5G2
Wnt	ATP5J
Wnt	CCT5
Wnt	TNPO1
Wnt	PTTG1
Wnt	CHCHD10
Wnt	CTNNAL1
Wnt	TES
Wnt	PSMD14
Wnt	MAN2A1
Wnt	ASAH1
Wnt	PRELID1
Wnt	H2AFV
Wnt	HLA-A
Wnt	RARS
Wnt	KIAA0101
Wnt	RPN2
Wnt	MARS
Wnt	ZC3H15
Wnt	ST6GAL1
Wnt	GARS
Wnt	MRPL51
Wnt	ACTB
Wnt	PSMB6
Wnt	NAP1L1
Wnt	SRP14
Wnt	PSMC5
Wnt	MCM2
Wnt	HMGB2
Wnt	HMGN2
Wnt	SEC61G
Wnt	LRRC59
Wnt	SSB
Wnt	SSBP1
Wnt	NDUFA4
Wnt	SSR4
Wnt	MDH1
Wnt	UBE2N
Wnt	NDUFAB1
Wnt	NDUFA6
Wnt	NDUFB2
Wnt	HNRNPA1
Wnt	HNRNPA2B1
Wnt	HNRNPD
Wnt	MMADHC
Wnt	DDOST
Wnt	EIF2S2
Wnt	HNRNPU
Wnt	LSM3
Wnt	CNIH
Wnt	PTMA
Wnt	CIRBP
Wnt	TYMS
Wnt	TBCB
Wnt	ACSL3
Wnt	TUBA1B
Wnt	LONP1
Wnt	AP2S1
Wnt	C6orf48
Wnt	NDUFA12
Wnt	UBE2L3
Wnt	TUBA1A
Wnt	NFE2L1
Wnt	SUMO1
Wnt	FDPS
Wnt	UCHL1
Wnt	ZFAND5
Wnt	GLO1
Wnt	RBMX
Wnt	TMEM147
Wnt	C11orf58
Wnt	MANF
Wnt	C1QBP
Wnt	SEC61B
Wnt	ANP32E
Wnt	LSM4
Wnt	TMED2
Wnt	TMEM97
Wnt	H2AFZ
Wnt	FHL1
Wnt	TRMT5
Wnt	SEC61A1
Wnt	PLOD2
Wnt	ATP5H
Wnt	HSPA5
Wnt	PPP1CC
Wnt	DYNC1I2
Wnt	RAC1
Wnt	VDAC3
Wnt	RAD21
Wnt	HSP90AB1
Wnt	HSPD1
Wnt	GAS5
Wnt	IPO5
Wnt	NPM1
Wnt	HSPE1
Wnt	TCEB1
Wnt	TCEB2
Wnt	DDIT4
Wnt	RANBP1
Wnt	MTHFD2
Wnt	BRP44
Wnt	C20orf199
Wnt	HYOU1
Wnt	SFRS5
Wnt	SFRS7
Wnt	SLC25A6
Wnt	TCP1
Wnt	PTPLAD1
Wnt	YBX1
Wnt	BZW2
Wnt	CALR
Wnt	GLTSCR2
Wnt	ANXA2
Wnt	COX4I1
Wnt	SLC7A5
Wnt	MKNK2
Wnt	UBE2C
Wnt	POLR2I
Wnt	CARS
Wnt	SMC4
Wnt	TUBA1C
Wnt	COX8A
Wnt	SHMT2
Wnt	SAE1
Wnt	TRIM28
Wnt	XIST
Wnt	CCT2
Wnt	NPC2
Wnt	EIF2A
Wnt	SLC38A1
Wnt	PSMB1
Wnt	LBR
Wnt	NACA
Wnt	IDI1
Wnt	MAP2K2
Wnt	XRCC5
Wnt	PABPC1
Wnt	YWHAE
Wnt	EEF2
Wnt	PAICS
Wnt	ACTR3
Wnt	PTGES3
Wnt	DUT
Wnt	ARF1
Wnt	RPS27L
Wnt	ZWINT
Wnt	POLR2L
Wnt	RPL4
Wnt	EEF1B2
Wnt	NOP58
Wnt	CS
Wnt	PHGDH
Wnt	CSE1L
Wnt	PSMD2
Wnt	TRIB3
Wnt	STRAP
Wnt	SND1
Wnt	ACTG1
Wnt	TRAM1
Wnt	PABPC3
Wnt	EIF4A2
Wnt	SEC62
Wnt	ASNS
Wnt	SERF2
Wnt	EBP
Wnt	TXNDC5
Wnt	PRDX1
Wnt	PSMC6
Wnt	CST3
Wnt	EIF5A
Wnt	CD63
Wnt	TOMM20
Wnt	TMED9
Wnt	MRPL47
Wnt	COX6C
Wnt	TMSB10
Wnt	CDK2AP1
Wnt	TMEM66
Wnt	FUS
Wnt	POMP
Wnt	RPL13A
Wnt	PTMAP7
Wnt	SNRPA1
Wnt	SNRPB2
Wnt	ENO1
Wnt	SNRPD1
Wnt	SNRPD3
Wnt	SNRPE
Wnt	SNRPF
Wnt	HERPUD1
Wnt	PFDN4
Wnt	SOD1
Wnt	TPI1
